,index,Word,Count
558,1181,ye,18
559,449,bosom,18
560,30,captain,18
561,1043,falls,18
562,1324,going,17
563,708,believe,17
564,597,five,17
565,1762,dark,17
566,2296,end,17
567,3430,past,17
568,391,fortunes,17
569,2112,behold,17
570,1662,dream,17
571,2778,foot,17
572,1367,nuncle,17
573,650,stands,17
574,210,shake,17
575,683,almost,17
576,946,times,17
577,2203,took,17
578,4103,signior,17
579,282,rich,17
580,4812,early,17
581,1796,noise,17
582,1537,bold,17
583,2643,pity,17
584,172,remember,17
585,486,hundred,17
586,1916,knows,17
587,1937,flesh,17
588,413,care,17
589,989,worse,17
590,2359,heavens,17
591,2512,purse,17
592,2945,voice,17
593,1394,whore,17
594,2413,worst,17
595,1055,under,17
596,5998,county,17
597,2499,already,17
598,990,sirrah,17
599,472,calls,16
600,90,neither,16
601,1280,counsel,16
602,1241,abused,16
603,1365,needs,16
604,2507,just,16
605,855,wherefore,16
606,1021,loves,16
607,4004,senator,16
608,649,n,16
609,136,wish,16
610,418,goes,16
611,733,hadst,16
612,3010,morning,16
613,2010,having,16
614,1636,hot,16
615,1663,each,16
616,1372,ld,16
617,1278,service,16
618,2739,hang,16
619,190,coming,16
620,936,hope,16
621,935,blame,16
622,1157,hours,16
623,1591,moved,16
624,5804,verona,16
625,539,judgment,16
626,1483,spoke,16
627,643,present,16
628,2728,bless,15
629,500,yours,15
630,220,while,15
631,1579,small,15
632,969,brought,15
633,700,offence,15
634,1457,methinks,15
635,1268,truly,15
636,2234,led,15
637,1982,passion,15
638,1675,company,15
639,1858,office,15
640,3007,awhile,15
641,1690,v,15
642,1711,case,15
643,814,next,15
644,863,moon,15
645,856,plague,15
646,1954,suit,15
647,1940,dies,15
648,2506,dover,15
649,4008,kinsman,15
650,1341,teach,15
651,2455,desperate,15
652,2471,white,15
653,37,herald,15
654,2069,speaks,15
655,5830,mantua,15
656,2733,pass,15
657,588,break,15
658,1939,arms,15
659,746,herself,15
660,135,fault,15
661,343,enemy,15
662,1669,mercy,15
663,1830,hark,15
664,4824,drunk,15
665,1539,shows,15
666,5823,page,14
667,1267,wouldst,14
668,1511,horse,14
669,1716,because,14
670,2423,hearts,14
671,1963,wall,14
672,2828,met,14
673,1176,rage,14
674,699,favour,14
675,2049,behind,14
676,329,worth,14
677,2145,proof,14
678,763,cast,14
679,2066,sit,14
680,1199,foolish,14
681,813,certain,14
682,2727,traitor,14
683,2434,thousand,14
684,731,glad,14
685,1799,worthy,14
686,6781,thursday,14
687,553,lose,14
688,5656,pale,14
689,3748,valiant,14
690,1266,ready,14
691,192,attend,14
692,1712,forget,14
693,1070,sick,14
694,3537,ears,14
695,1282,tale,14
696,1817,deny,14
697,4270,sail,14
698,1231,question,14
699,4207,marriage,13
700,3296,town,13
701,805,cunning,13
702,389,lest,13
703,1611,youth,13
704,2215,wild,13
705,3688,doubt,13
706,1192,anon,13
707,1587,beat,13
708,1479,unto,13
709,1993,masters,13
710,1888,proud,13
711,1067,honesty,13
712,376,sisters,13
713,3358,soldier,13
714,160,sent,13
715,867,base,13
716,400,obey,13
717,1542,lust,13
718,1272,fight,13
719,1726,save,13
720,1078,fools,13
721,1075,stars,13
722,926,hide,13
723,2658,seems,13
724,227,loving,13
725,2427,water,13
726,1779,strong,13
727,2502,open,12
728,164,sport,12
729,2348,courtesy,12
730,270,born,12
731,1592,creature,12
732,754,sorry,12
733,1408,wast,12
734,1292,singing,12
735,1743,fly,12
736,134,smell,12
737,2282,tomb,12
738,45,knights,12
739,3330,officer,12
740,2267,drum,12
741,2061,stocks,12
742,2295,ground,12
743,608,following,12
744,2044,entreat,12
745,2591,close,12
746,768,respect,12
747,1166,instant,12
748,1236,given,12
749,1030,presently,12
750,651,aught,12
751,1390,learn,12
752,1673,writ,12
753,2582,justice,12
754,2219,blind,12
755,5032,move,12
756,902,grow,12
757,76,kingdom,12
758,1760,stop,12
759,4024,musicians,12
760,1698,merry,12
761,2152,bare,12
762,2426,women,12
763,1849,bad,12
764,1395,door,12
765,2425,touch,12
766,684,hers,12
767,339,short,12
768,653,seeming,12
769,655,displeasure,12
770,2244,rain,12
771,25,doctor,12
772,745,point,12
773,2452,shut,12
774,368,least,12
775,3280,brief,12
776,647,tender,12
777,292,e,12
778,918,paper,12
779,3793,sing,12
780,945,bitter,11
781,50,soldiers,11
782,4044,michael,11
783,1956,beard,11
